"gesgewicht","nwgewicht","d1","d2a","d3","d7","d38","d46","d63","q1","q2","q4","q5","q6","q33","q34ba","wahlnorm","q73a","q73b","q73c","q73d","q73e","q73f","q73g","q73h","q75a","q75b","q76","gespraechebtw","q111","q114ba","q114bb","untwerreg","untwenwaehlt","gewaehlt","wabs","wbt","pwahl21","nichtwahl17","pwahl17","unterschied","polintnum","polint","demzuf","geburtsjahr","alter","alter2","frau","polwissen","bildung","gewhheink","drittel","pid","pidstaerke","ost"
0.506648778915405,NA,1,"1953",NA,5,3,9,NA,1,5,5,NA,5,NA,NA,1,0,0,0,0,0,0,0,0,808,808,NA,7,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,4,"sehr hoch","sehr unzufrieden",1953,68,4624,0,NA,"hoch",NA,NA,0,"keine","West"
0.991390645503998,0.922192990779877,2,"1938",2,3,3,6,NA,3,NA,2,NA,NA,1,1,NA,0,0,0,0,0,0,0,0,1,1,2,4,1,1,1,5,4,1,NA,1,"Union",0,"Union",4.5,2,"mittel","zufrieden",1938,83,6889,1,NA,"mittel",NA,NA,1,"stark","West"
0.863127410411835,NA,2,"1970",2,5,4,15,11,2,2,2,1,1,1,6,5,NA,NA,NA,NA,NA,NA,NA,NA,6,6,1,7,NA,NA,NA,NA,NA,NA,1,1,NA,0,"Grüne",NA,3,"hoch","zufrieden",1970,51,2601,1,0,"hoch",7.77817459305202,"hoch",1,"sehr stark","West"
0.768316328525543,NA,1,"1976",4,4,5,1,13,4,4,2,1,1,1,5,4,0,0,0,0,0,0,0,0,5,5,2,0,NA,NA,NA,NA,NA,NA,1,1,NA,0,"FDP",NA,1,"(sehr) gering","zufrieden",1976,45,2025,0,0,"hoch",6.5,"hoch",1,"stark","West"
1.33826732635498,NA,1,"1975",3,3,4,8,9,3,3,2,2,1,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,7,NA,NA,NA,NA,NA,NA,1,1,NA,1,"Nichtwahl",NA,2,"mittel","zufrieden",1975,46,2116,0,1,"mittel",5.19615242270663,"mittel",1,"stark","Ost"
3.47105121612549,NA,2,"1968",3,2,3,15,7,4,4,3,2,6,1,6,4,0,0,0,0,0,0,0,0,6,6,2,0,NA,NA,NA,NA,NA,NA,1,1,NA,0,"Grüne",NA,1,"(sehr) gering","teils/teils",1968,53,2809,1,1,"niedrig",4.04145188432738,"niedrig",1,"stark","West"
0.768316328525543,0.765514016151428,1,"1965",1,5,4,1,5,3,NA,2,2,NA,1,1,NA,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,4,4,1,NA,1,"Union",0,"Union",4,2,"mittel","zufrieden",1965,56,3136,0,1,"hoch",5,"mittel",1,"stark","West"
0.996646344661713,NA,1,"1997",2,5,4,15,5,3,2,2,2,1,1,801,5,0,0,1,0,1,0,0,0,808,808,NA,5,NA,NA,NA,NA,NA,NA,1,1,NA,0,NA,NA,2,"mittel","zufrieden",1997,24,576,0,1,"hoch",3.53553390593274,"niedrig",0,"keine","West"
0.996646344661713,1.0489284992218,1,"2001",4,5,4,15,NA,3,NA,2,2,NA,NA,NA,NA,0,0,0,0,0,0,0,0,5,5,2,5,1,5,5,5,4,1,NA,1,"FDP",NA,NA,4.5,2,"mittel","zufrieden",2001,20,400,0,1,"hoch",NA,NA,1,"stark","West"
0.863127410411835,NA,2,"1974",5,5,5,1,10,1,2,2,3,1,1,6,5,1,1,1,0,1,0,0,0,4,4,2,6,NA,NA,NA,NA,NA,NA,1,1,NA,0,"Grüne",NA,4,"sehr hoch","zufrieden",1974,47,2209,1,0,"hoch",4.47213595499958,"niedrig",1,"stark","West"
1.33826732635498,NA,1,"1967",2,3,3,15,10,3,2,3,2,1,1,4,5,0,0,0,0,0,0,0,0,4,4,2,2,NA,NA,NA,NA,NA,NA,1,1,NA,0,"SPD",NA,2,"mittel","teils/teils",1967,54,2916,0,1,"mittel",7.07106781186547,"hoch",1,"stark","West"
0.882490277290344,NA,1,"1953",1,3,3,6,4,2,1,3,3,1,1,801,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,1,NA,0,NA,NA,3,"hoch","teils/teils",1953,68,4624,0,0,"mittel",4,"niedrig",NA,NA,"West"
1.76401627063751,1.87179470062256,1,"1983",1,3,3,15,NA,1,NA,3,2,NA,1,6,NA,0,1,0,0,0,0,0,0,4,4,2,2,1,4,4,4,5,1,NA,1,"SPD",0,"Grüne",4.5,4,"sehr hoch","teils/teils",1983,38,1444,0,1,"mittel",NA,NA,1,"stark","West"
